epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6264,0.99113,2.73384,1.57532,0.00367,0.99213,0.48173,0.22167,1.21466,2.86953,2.19407,0.00051677,0.00051677,0.00051677
2,24.9932,1.03717,1.76493,1.5815,0.5374,0.12633,0.28189,0.07006,2.37682,3.02308,3.76738,0.00103981,0.00103981,0.00103981
3,35.1734,1.097,1.5365,1.62572,0.55138,0.54837,0.50365,0.22247,1.75441,2.4178,3.24903,0.00155229,0.00155229,0.00155229
4,47.1747,1.08792,1.4036,1.59958,0.18019,0.46991,0.16937,0.05141,2.46899,4.18905,3.4928,0.00161749,0.00161749,0.00161749
5,55.4487,1.13303,1.32951,1.63659,0.43019,0.42729,0.34041,0.12828,2.29165,3.62139,3.13827,0.00160099,0.00160099,0.00160099
6,64.084,1.13174,1.29146,1.64057,0.20017,0.32087,0.1396,0.05413,2.48253,4.85132,3.34001,0.00158448,0.00158448,0.00158448
7,73.3338,1.00609,1.16183,1.54369,0.61138,0.82044,0.73695,0.40451,1.48287,1.76896,2.59207,0.00156798,0.00156798,0.00156798
8,84.4595,0.99164,1.10868,1.54549,0.68243,0.77137,0.72836,0.31505,1.83783,2.02427,2.81611,0.00155148,0.00155148,0.00155148
9,94.5521,1.00925,1.04693,1.54396,0.55736,0.75056,0.66261,0.33791,1.51683,1.45921,2.48966,0.00153497,0.00153497,0.00153497
10,107.325,0.99295,1.03851,1.53252,0.88894,0.73692,0.85303,0.4814,1.34309,1.43795,2.35856,0.00151847,0.00151847,0.00151847
11,118.261,1.00309,0.98462,1.54523,0.83539,0.9101,0.91954,0.52954,1.34458,1.18287,2.22495,0.00150197,0.00150197,0.00150197
12,131.196,0.9756,0.91392,1.49597,0.97012,0.88555,0.94492,0.63305,1.19687,0.8386,2.15601,0.00148546,0.00148546,0.00148546
13,143.009,0.97898,0.93538,1.52674,0.98686,0.87767,0.93644,0.6224,1.18912,0.83662,2.14368,0.00146896,0.00146896,0.00146896
14,151.505,0.97995,0.92333,1.52059,0.81161,0.68365,0.8124,0.37773,1.59226,1.37632,2.52176,0.00145246,0.00145246,0.00145246
15,161.361,0.95062,0.88847,1.51269,0.88138,0.86637,0.92737,0.55811,1.31898,1.06498,2.17997,0.00143595,0.00143595,0.00143595
16,169.805,0.95958,0.85677,1.49585,0.89409,0.91061,0.91663,0.47761,1.47674,1.10419,2.39902,0.00141945,0.00141945,0.00141945
17,181.591,0.87665,0.78249,1.44424,0.85167,0.83362,0.91448,0.56765,1.20327,0.98854,2.05016,0.00140295,0.00140295,0.00140295
18,190.23,0.95155,0.83267,1.49604,0.97179,0.89801,0.94902,0.64396,1.08401,0.73077,1.8557,0.00138644,0.00138644,0.00138644
19,200.8,0.91527,0.80808,1.4632,0.78711,0.72905,0.7348,0.44065,1.36401,1.17723,2.35183,0.00136994,0.00136994,0.00136994
20,212.959,0.91701,0.79279,1.45739,0.92469,0.78445,0.90627,0.60636,1.12755,0.89372,1.91409,0.00135344,0.00135344,0.00135344
21,223.01,0.91494,0.82861,1.46445,0.94916,0.86713,0.92525,0.64765,1.1015,0.91404,1.93304,0.00133693,0.00133693,0.00133693
22,232.209,0.8644,0.77555,1.43744,0.94235,0.84267,0.91935,0.60519,1.15547,0.86191,2.05096,0.00132043,0.00132043,0.00132043
23,242.797,0.86482,0.75378,1.44087,0.87814,0.83436,0.90338,0.62048,1.15333,0.84769,1.9453,0.00130393,0.00130393,0.00130393
