epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6368.97,0.80232,1.96295,0.71298,1.29634,0.8041,0.81133,0.77461,0.57449,0.8336,0.84672,0.86006,0.47143,1.03736,1.94298,1.10318,1.68165,0.00120491,0.00120491,0.00120491
30,6564.49,0.84692,2.00265,0.74167,1.31219,0.9278,0.78383,0.874,0.64949,0.96772,0.81955,0.90455,0.57318,0.93109,1.85474,0.89605,1.57173,0.0011884,0.0011884,0.0011884
31,6856.77,0.80636,1.99214,0.73581,1.2867,0.86699,0.7801,0.86376,0.66062,0.98065,0.88696,0.94777,0.56963,0.95541,1.98144,0.9273,1.55629,0.0011719,0.0011719,0.0011719
32,7102.34,0.77826,1.97907,0.71917,1.29383,0.8902,0.84398,0.87772,0.66436,0.92949,0.8797,0.92305,0.55887,0.83794,1.8342,0.71018,1.48058,0.0011554,0.0011554,0.0011554
33,7349.71,0.7631,1.91594,0.67171,1.26185,0.91151,0.84301,0.92032,0.6108,0.88696,0.91068,0.92484,0.58258,0.98272,1.79236,0.86321,1.66009,0.00113889,0.00113889,0.00113889
34,7589.62,0.75568,1.90082,0.68068,1.26033,0.90789,0.88346,0.89586,0.6566,0.93867,0.91541,0.93987,0.56469,1.00147,1.75275,0.75603,1.64809,0.00112239,0.00112239,0.00112239
35,7864.49,0.74641,1.88109,0.65071,1.25586,0.91163,0.8609,0.89764,0.65023,0.94568,0.90038,0.94147,0.58778,0.97185,1.8673,0.80389,1.64812,0.00110589,0.00110589,0.00110589
36,8133.25,0.76116,1.84435,0.66962,1.25407,0.86983,0.84233,0.85785,0.6786,0.89273,0.8855,0.89485,0.5939,0.91615,1.85834,0.73845,1.5778,0.00108938,0.00108938,0.00108938
37,8402.76,0.77194,1.88108,0.65165,1.2823,0.87693,0.85835,0.887,0.68761,0.87693,0.85835,0.89186,0.59551,0.86361,1.89208,0.78734,1.49087,0.00107288,0.00107288,0.00107288
38,8682.27,0.77029,1.78611,0.66434,1.26412,0.86058,0.84308,0.86823,0.66148,0.8918,0.87848,0.92032,0.58858,0.99654,1.82353,0.94335,1.63733,0.00105638,0.00105638,0.00105638
39,9003.56,0.78534,1.92982,0.67596,1.27293,0.91137,0.86155,0.88075,0.6671,0.95153,0.90319,0.9314,0.60651,0.89852,1.70758,0.7373,1.5592,0.00103987,0.00103987,0.00103987
40,9269.76,0.72476,1.79396,0.64934,1.22762,0.94221,0.83508,0.9053,0.70488,0.97389,0.87209,0.9366,0.60787,0.83637,1.88687,0.85041,1.45706,0.00102337,0.00102337,0.00102337
41,9775.01,0.71915,1.89951,0.64117,1.2255,0.87349,0.88346,0.90209,0.67696,0.91306,0.92293,0.92629,0.61406,0.85036,1.68195,0.91598,1.44008,0.00100687,0.00100687,0.00100687
42,10040.9,0.75248,1.86349,0.65752,1.26004,0.90044,0.86925,0.92252,0.6847,0.9273,0.89662,0.92353,0.58437,0.95967,1.89609,0.71633,1.55724,0.000990365,0.000990365,0.000990365
43,10296.8,0.75339,1.83868,0.65637,1.25781,0.88913,0.86033,0.86936,0.60156,0.92304,0.89594,0.8956,0.59379,0.94961,1.80125,0.7746,1.58798,0.000973861,0.000973861,0.000973861
44,10711.1,0.72739,1.79686,0.62386,1.22307,0.85064,0.8515,0.88516,0.6533,0.92348,0.92293,0.93019,0.56665,0.9141,1.79875,0.77138,1.54806,0.000957358,0.000957358,0.000957358
45,11003.7,0.72526,1.79017,0.62828,1.2314,0.82154,0.80559,0.86518,0.68755,0.85226,0.83721,0.90702,0.63539,0.90307,1.74708,1.02854,1.54458,0.000940855,0.000940855,0.000940855
46,11452.3,0.73807,1.80222,0.62625,1.24356,0.91349,0.8694,0.91508,0.64849,0.93652,0.89384,0.91375,0.57221,0.97384,1.82548,0.8221,1.59549,0.000924352,0.000924352,0.000924352
47,11948.6,0.70748,1.7891,0.63319,1.21765,0.91759,0.8787,0.9019,0.69961,0.94965,0.91053,0.94859,0.61157,0.83641,1.7204,0.74513,1.40366,0.000907848,0.000907848,0.000907848
48,12220.9,0.74898,1.77401,0.66385,1.25883,0.90572,0.84586,0.86183,0.67077,0.9392,0.87782,0.90097,0.61009,1.02878,1.95791,0.90576,1.65927,0.000891345,0.000891345,0.000891345
49,12478.8,0.72265,1.80958,0.62411,1.23596,0.90984,0.87889,0.93351,0.72228,0.93982,0.91084,0.93603,0.63479,0.86892,1.74126,0.67603,1.4732,0.000874842,0.000874842,0.000874842
50,12743.3,0.67708,1.76302,0.59155,1.2098,0.92107,0.87218,0.87458,0.72172,0.9526,0.90414,0.92548,0.61689,0.77922,1.79818,0.72094,1.40412,0.000858338,0.000858338,0.000858338
51,12966.1,0.70087,1.72137,0.60155,1.22174,0.91845,0.87086,0.84069,0.66868,0.94907,0.90281,0.90693,0.60314,0.82769,1.75642,0.76375,1.45966,0.000841835,0.000841835,0.000841835
52,13210.9,0.6919,1.79313,0.61961,1.21451,0.86275,0.86608,0.88355,0.7083,0.88908,0.89803,0.89433,0.63016,0.83473,1.81126,0.82402,1.4638,0.000825332,0.000825332,0.000825332
