epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,527.966,0.78613,0.64941,1.38629,0.9855,0.96246,0.96695,0.70203,0.93867,0.59861,1.70566,0.000990365,0.000990365,0.000990365
43,539.742,0.79432,0.62735,1.36903,0.96963,0.92545,0.96195,0.66834,1.00416,0.63317,1.7944,0.000973861,0.000973861,0.000973861
44,552.877,0.81055,0.66518,1.40846,0.97556,0.9305,0.96232,0.65881,1.08664,0.64616,1.83151,0.000957358,0.000957358,0.000957358
45,564.187,0.77157,0.5998,1.36395,0.95723,0.95458,0.95714,0.70702,0.95771,0.61345,1.76449,0.000940855,0.000940855,0.000940855
46,575.731,0.77021,0.60238,1.36526,0.95805,0.93778,0.96028,0.70735,0.92644,0.55053,1.68513,0.000924352,0.000924352,0.000924352
47,587.728,0.78637,0.61083,1.37231,0.98984,0.93211,0.96247,0.7005,0.96155,0.59134,1.68153,0.000907848,0.000907848,0.000907848
48,599.438,0.7613,0.59179,1.35352,0.95993,0.95065,0.96081,0.7204,0.91467,0.56293,1.74893,0.000891345,0.000891345,0.000891345
49,611.467,0.76732,0.60345,1.35346,0.96076,0.94498,0.95739,0.69877,0.92977,0.59665,1.74267,0.000874842,0.000874842,0.000874842
50,623.06,0.7404,0.57925,1.34462,0.98249,0.93096,0.96299,0.71413,0.97978,0.57758,1.73398,0.000858338,0.000858338,0.000858338
51,634.684,0.77029,0.57204,1.36562,0.9624,0.94671,0.96071,0.74365,0.87155,0.52932,1.63136,0.000841835,0.000841835,0.000841835
52,647.001,0.73516,0.56555,1.32222,0.98038,0.94304,0.96454,0.71402,0.9502,0.56925,1.7213,0.000825332,0.000825332,0.000825332
53,658.704,0.78748,0.57097,1.37262,0.98466,0.92492,0.96469,0.73414,0.86874,0.56103,1.65962,0.000808828,0.000808828,0.000808828
54,670.498,0.73653,0.58558,1.33357,0.98169,0.93096,0.9612,0.74312,0.84896,0.53239,1.61508,0.000792325,0.000792325,0.000792325
55,682.424,0.76524,0.56811,1.36219,0.98577,0.93968,0.9613,0.7203,0.91043,0.60124,1.75394,0.000775822,0.000775822,0.000775822
56,694.08,0.76382,0.59763,1.34659,0.98922,0.93483,0.9615,0.74913,0.87033,0.533,1.64724,0.000759318,0.000759318,0.000759318
57,705.96,0.73067,0.54903,1.32684,0.98557,0.92309,0.96049,0.74298,0.91732,0.53467,1.69274,0.000742815,0.000742815,0.000742815
58,717.714,0.70456,0.54891,1.30396,0.98112,0.93884,0.96448,0.73068,0.89969,0.54213,1.65124,0.000726312,0.000726312,0.000726312
59,729.593,0.70504,0.55094,1.30392,0.97979,0.93763,0.96147,0.71519,0.92515,0.55109,1.7082,0.000709809,0.000709809,0.000709809
60,741.761,0.7112,0.56828,1.31151,0.97138,0.91522,0.95477,0.74546,0.8703,0.57019,1.65842,0.000693305,0.000693305,0.000693305
61,753.593,0.6865,0.53134,1.30751,0.98791,0.94194,0.95701,0.73549,0.8916,0.55336,1.67439,0.000676802,0.000676802,0.000676802
62,765.113,0.7151,0.5273,1.32851,0.97598,0.94701,0.9618,0.76242,0.85257,0.5104,1.60846,0.000660299,0.000660299,0.000660299
63,777.216,0.70939,0.53613,1.30313,0.97534,0.94489,0.96619,0.73082,0.8557,0.52386,1.65158,0.000643795,0.000643795,0.000643795
64,790.328,0.67907,0.51846,1.30142,0.99056,0.953,0.9678,0.74752,0.8666,0.54245,1.66533,0.000627292,0.000627292,0.000627292
65,801.721,0.71675,0.54023,1.31643,0.98926,0.9344,0.96218,0.75686,0.88291,0.53727,1.66556,0.000610789,0.000610789,0.000610789
66,813.241,0.71475,0.54657,1.31614,0.97756,0.94023,0.96359,0.74746,0.86291,0.53742,1.63135,0.000594286,0.000594286,0.000594286
67,826.064,0.69975,0.52577,1.32589,0.98607,0.94671,0.966,0.77013,0.88402,0.54778,1.62147,0.000577782,0.000577782,0.000577782
68,838.137,0.71532,0.52901,1.31479,0.9818,0.94671,0.96735,0.76817,0.85727,0.52874,1.60095,0.000561279,0.000561279,0.000561279
69,849.965,0.67498,0.52325,1.28329,0.98434,0.94208,0.96758,0.76322,0.85109,0.50317,1.61283,0.000544776,0.000544776,0.000544776
70,862.013,0.67267,0.50906,1.28408,0.98689,0.94806,0.96741,0.75407,0.89301,0.52792,1.69277,0.000528272,0.000528272,0.000528272
71,873.512,0.66624,0.4973,1.28289,0.98575,0.95448,0.96754,0.77394,0.83821,0.50097,1.58568,0.000511769,0.000511769,0.000511769
72,885.412,0.66308,0.4991,1.26327,0.98211,0.93884,0.9644,0.75586,0.83241,0.53194,1.62574,0.000495266,0.000495266,0.000495266
73,897.948,0.6589,0.48627,1.27561,0.97537,0.9349,0.96156,0.7609,0.84191,0.53099,1.59175,0.000478762,0.000478762,0.000478762
74,909.978,0.63521,0.48758,1.26149,0.99063,0.92702,0.96183,0.76112,0.85826,0.54116,1.61881,0.000462259,0.000462259,0.000462259
75,921.341,0.64558,0.47708,1.26689,0.99311,0.94699,0.96607,0.7602,0.83728,0.50362,1.6029,0.000445756,0.000445756,0.000445756
76,933.387,0.67122,0.50249,1.28128,0.97438,0.95251,0.96166,0.76192,0.81589,0.49076,1.57695,0.000429253,0.000429253,0.000429253
77,945.769,0.63364,0.47607,1.26407,0.98774,0.95065,0.96608,0.7589,0.83433,0.52544,1.58919,0.000412749,0.000412749,0.000412749
78,957.311,0.61969,0.45825,1.24054,0.9668,0.94605,0.96622,0.74861,0.82506,0.51625,1.60312,0.000396246,0.000396246,0.000396246
79,970.546,0.65459,0.49643,1.25648,0.9813,0.93002,0.96409,0.74231,0.84389,0.5349,1.58852,0.000379743,0.000379743,0.000379743
80,983.109,0.63387,0.47865,1.25298,0.98316,0.9349,0.96704,0.75727,0.81086,0.50385,1.54782,0.000363239,0.000363239,0.000363239
81,994.756,0.63924,0.4651,1.26556,0.97419,0.95065,0.96754,0.75766,0.83833,0.49614,1.59793,0.000346736,0.000346736,0.000346736
82,1006.33,0.6234,0.48479,1.24781,0.9834,0.94009,0.96398,0.75696,0.81906,0.4826,1.56461,0.000330233,0.000330233,0.000330233
83,1017.93,0.62139,0.46626,1.24731,0.98814,0.94277,0.96738,0.76425,0.79728,0.49144,1.56513,0.000313729,0.000313729,0.000313729
84,1029.68,0.62766,0.46573,1.24372,0.98675,0.94313,0.96846,0.76347,0.82954,0.47996,1.57599,0.000297226,0.000297226,0.000297226
85,1041.26,0.6117,0.45706,1.22862,0.98872,0.9463,0.96763,0.75655,0.79822,0.48869,1.56776,0.000280723,0.000280723,0.000280723
86,1052.81,0.59973,0.4678,1.23685,0.98741,0.94527,0.96759,0.75392,0.7967,0.47441,1.54994,0.00026422,0.00026422,0.00026422
87,1064.52,0.61252,0.47263,1.242,0.99135,0.94467,0.96709,0.78625,0.80337,0.47808,1.54804,0.000247716,0.000247716,0.000247716
88,1076.81,0.60414,0.46018,1.21954,0.98409,0.951,0.96823,0.79733,0.78652,0.46282,1.55977,0.000231213,0.000231213,0.000231213
89,1088.61,0.59388,0.44518,1.23945,0.97702,0.95633,0.96838,0.78124,0.78066,0.48486,1.56444,0.00021471,0.00021471,0.00021471
90,1100.19,0.59361,0.45846,1.23972,0.99074,0.94671,0.96657,0.77784,0.7867,0.48411,1.57314,0.000198206,0.000198206,0.000198206
91,1113.75,0.4771,0.39917,1.25797,0.97841,0.94971,0.96548,0.75204,0.80275,0.47768,1.58056,0.000181703,0.000181703,0.000181703
92,1125.68,0.45348,0.33098,1.23435,0.9754,0.9359,0.96185,0.75654,0.79663,0.49525,1.6076,0.0001652,0.0001652,0.0001652
93,1137.1,0.44232,0.31994,1.23561,0.98827,0.93428,0.96308,0.75652,0.7834,0.50161,1.57377,0.000148696,0.000148696,0.000148696
94,1148.46,0.43268,0.31084,1.20946,0.98831,0.93884,0.9639,0.76705,0.76551,0.48254,1.55974,0.000132193,0.000132193,0.000132193
95,1160.12,0.40927,0.29455,1.19637,0.98873,0.93989,0.96493,0.7631,0.77632,0.48474,1.56281,0.00011569,0.00011569,0.00011569
96,1171.55,0.42321,0.31486,1.20418,0.98668,0.94671,0.96563,0.76409,0.77302,0.49222,1.55652,9.91865e-05,9.91865e-05,9.91865e-05
97,1182.93,0.39333,0.28664,1.16967,0.98765,0.94812,0.96421,0.76882,0.76311,0.47742,1.55499,8.26832e-05,8.26832e-05,8.26832e-05
98,1195.62,0.40593,0.28491,1.19574,0.97947,0.94671,0.96401,0.77214,0.75715,0.46963,1.54564,6.61799e-05,6.61799e-05,6.61799e-05
99,1207.34,0.39421,0.28881,1.1891,0.98189,0.95065,0.96378,0.77548,0.76037,0.47245,1.55017,4.96766e-05,4.96766e-05,4.96766e-05
100,1219.15,0.40042,0.28195,1.18015,0.98244,0.9502,0.9642,0.77268,0.76394,0.46934,1.5619,3.31733e-05,3.31733e-05,3.31733e-05
